ticket_id,customerID,ticket_open_date,ticket_close_date,issue_type,priority,status
TKT-0000058,GEN-12750,2025-07-09,2025-07-18,Billing Inquiry,High,Closed
TKT-0000059,GEN-12471,2026-04-28,,Service Interruption,Medium,Open
TKT-0000060,GEN-02111,2026-05-25,2026-05-27,Service Interruption,High,Closed
TKT-0000061,GEN-09857,2025-07-13,2025-07-18,New Service Request,Low,Closed
TKT-0000062,GEN-07016,2026-02-20,2026-02-21,Service Interruption,Medium,Closed
TKT-0000063,5277-ZLOOR,2025-07-19,2025-07-31,Billing Inquiry,Low,Closed
TKT-0000064,GEN-12641,2025-07-21,2025-08-02,New Service Request,High,Closed
TKT-0000065,GEN-07749,2026-03-28,,Service Interruption,Low,Open
TKT-0000066,4718-DHSMV,2025-07-19,,Billing Inquiry,Medium,Pending Customer
TKT-0000067,GEN-08348,2026-01-21,2026-01-30,Billing Inquiry,Medium,Closed
TKT-0000068,4111-BNXIF,2025-10-09,2025-10-18,Technical Support,High,Closed
TKT-0000069,3654-ARMGP,2026-04-22,,Cancellation Request,Low,Pending Customer
 TKT-0000070 , GEN-05322 , 2025-09-27 , 2025-09-29 , Technical Support , Medium , Closed 
TKT-0000071,2824-DXNKN,2026-05-31,2026-06-01,Technical Support,Medium,Closed
TKT-0000072,GEN-01156,2026-01-15,2026-01-25,Service Interruption,Low,Closed
TKT-0000073,GEN-05673,2025-09-21,2025-09-23,Service Interruption,High,Closed
TKT-0000074,GEN-00002,2026-06-12,2026-06-16,Service Interruption,High,Closed
TKT-0000075,GEN-02568,2025-12-06,2025-12-07,Service Interruption,Low,Closed
TKT-0000076,GEN-06673,2026-01-15,2026-01-22,Cancellation Request,Low,Closed
TKT-0000077,1096-ADRUX,2026-01-23,2026-01-28,Billing Inquiry,Low,Closed
TKT-0000078,4603-JANFB,2025-07-06,2025-07-13,New Service Request,Low,Closed
TKT-0000079,1658-XUHBX,2025-10-29,2025-10-31,New Service Request,Low,Closed
TKT-0000080,8148-NLEGT,2025-07-23,2025-07-30,Cancellation Request,High,Closed
TKT-0000081,GEN-08443,2026-06-24,2026-07-02,Service Interruption,Low,Closed
tkt-0000082,4183-wcsep,2025-09-02,2025-09-08,billing inquiry,medium,CLOSED
TKT-0000083,4690-LLKUA,2025-07-22,2025-07-23,Billing Inquiry,Low,Closed
TKT-0000084,5226-NOZFC,2025-08-26,2025-09-06,Service Interruption,Low,Closed
TKT-0000085,4709-LKHYG,2026-05-31,2026-06-06,Technical Support,Medium,Closed
TKT-0000086,GEN-05399,2025-09-21,2025-10-03,Service Interruption,Medium,Closed
TKT-0000087,1447-GIQMR,2025-11-28,2025-12-02,Billing Inquiry,High,Closed
TKT-0000088,6961-MJKBO,2025-08-19,2025-08-31,Billing Inquiry,Low,Closed
 TKT-0000089 , GEN-00534 , 2026-04-08 , 2026-04-18 , Billing Inquiry , Low , Closed 
TKT-0000090,4001-TSBTV,2026-03-25,2026-03-31,Cancellation Request,Medium,Closed
TKT-0000091,8648-PFRMP,2025-11-23,2025-12-04,Service Interruption,Medium,Closed
TKT-0000092,GEN-11796,2026-01-11,,Technical Support,Low,Open
TKT-0000093,GEN-03771,2026-01-12,2026-01-15,Technical Support,Low,Closed
TKT-0000094,9365-CSLBQ,2026-04-20,2026-04-25,Cancellation Request,Low,Closed
TKT-0000095,GEN-07065,2025-08-18,2025-08-21,Technical Support,Medium,Closed
TKT-0000096,GEN-07433,2025-12-30,,Technical Support,Medium,Pending Customer
TKT-0000097,0708-LGSMF,2025-09-07,2025-09-09,Cancellation Request,Medium,Closed
TKT-0000098,GEN-10379,2026-04-15,2026-04-18,Technical Support,High,Closed
TKT-0000099,GEN-10133,2026-05-26,2026-06-04,Service Interruption,Low,Closed
TKT-0000100,GEN-06420,2026-06-24,2026-06-29,Billing Inquiry,Medium,Closed
TKT-0000101,GEN-02405,2026-05-08,2026-05-21,Cancellation Request,Medium,Closed
TKT-0000102,9282-IZGQK,2026-04-27,,Billing Inquiry,Low,Pending Customer
TKT-0000103,GEN-02194,2025-11-14,,Technical Support,High,Open
TKT-0000104,GEN-01259,2025-09-19,2025-09-25,Billing Inquiry,Medium,Closed
TKT-0000105,GEN-03952,2025-10-30,2025-11-08,Billing Inquiry,High,Closed
TKT-0000106,7270-BDIOA,2025-08-01,2025-08-06,Service Interruption,Medium,Closed
TKT-0000107,GEN-00818,2025-11-15,2025-11-18,Service Interruption,Medium,Closed
TKT-0000108,0402-OAMEN,2026-02-19,2026-02-24,Cancellation Request,Medium,Closed
TKT-0000109,GEN-03655,2025-07-05,2025-07-13,Technical Support,Medium,Closed
TKT-0000110,1193-RTSLK,2025-07-05,2025-07-18,New Service Request,High,Closed
TKT-0000111,GEN-03200,2025-09-09,2025-09-12,Service Interruption,Medium,Closed
TKT-0000112,3957-SQXML,2025-12-24,2026-01-04,Technical Support,Low,Closed
TKT-0000113,GEN-01643,2026-01-12,2026-01-16,Technical Support,Low,Closed
TKT-0000114,8439-LTUGF,2025-10-04,2025-10-16,Cancellation Request,Medium,Closed
TKT-0000115,GEN-09157,2026-05-24,2026-05-25,New Service Request,Low,Closed
TKT-0000116,1379-FRVEB,2026-03-24,2026-03-29,Billing Inquiry,Low,Closed
TKT-0000117,GEN-10713,2026-05-12,2026-05-19,Billing Inquiry,Medium,Closed
TKT-0000118,GEN-04005,2026-04-01,2026-04-03,Cancellation Request,Medium,Closed
TKT-0000119,GEN-02127,2025-08-29,2025-08-31,Technical Support,Low,Closed
TKT-0000120,GEN-06689,2026-06-04,2026-06-10,Billing Inquiry,Medium,Closed
TKT-0000121,GEN-02434,2026-06-25,,Billing Inquiry,Medium,Pending Customer
TKT-0000122,3128-YOVTD,2025-10-14,2025-10-21,Service Interruption,Low,Closed
TKT-0000123,8984-EYLLL,2026-02-27,2026-03-08,Billing Inquiry,Low,Closed
TKT-0000124,GEN-10168,2026-06-21,2026-07-01,Technical Support,Low,Closed
TKT-0000125,GEN-05578,2026-06-23,,Billing Inquiry,Low,Open
TKT-0000126,GEN-04262,2025-08-21,,Billing Inquiry,Low,Open
TKT-0000127,GEN-12655,2025-08-01,2025-08-04,Cancellation Request,Medium,Closed
TKT-0000128,GEN-05509,2025-08-04,,Service Interruption,High,Pending Customer
TKT-0000129,GEN-06452,2025-07-22,2025-07-28,Billing Inquiry,Low,Closed
TKT-0000130,GEN-10340,2025-10-14,2025-10-18,Service Interruption,Medium,Closed
TKT-0000131,GEN-06195,2026-04-30,2026-05-03,Billing Inquiry,Low,Closed
TKT-0000132,GEN-08984,2025-11-09,,Billing Inquiry,High,Pending Customer
TKT-0000133,GEN-08927,2025-08-02,2025-08-12,Technical Support,High,Closed
TKT-0000134,GEN-09619,2025-10-08,2025-10-10,Service Interruption,Low,Closed
TKT-0000135,GEN-07992,2026-01-14,2026-01-23,Cancellation Request,Low,Closed
TKT-0000136,2933-XEUJM,2025-09-06,2025-09-19,Technical Support,Medium,Closed
TKT-0000137,7124-UGSUR,2025-08-17,2025-08-26,Technical Support,Low,Closed
TKT-0000138,GEN-08102,2026-05-19,2026-05-21,Billing Inquiry,High,Closed
TKT-0000139,GEN-11019,2025-07-23,2025-08-04,New Service Request,High,Closed
TKT-0000140,GEN-09236,2025-07-07,2025-07-09,Billing Inquiry,High,Closed
TKT-0000141,3092-IGHWF,2025-08-26,2025-08-28,Billing Inquiry,High,Closed
TKT-0000142,3669-WHAFY,2025-08-14,2025-08-22,Cancellation Request,Low,Closed
TKT-0000143,6891-JPYFF,2026-05-27,2026-06-05,Billing Inquiry,High,Closed
TKT-0000144,GEN-00758,2025-12-09,2025-12-20,Cancellation Request,Low,Closed
TKT-0000145,GEN-02222,2025-12-28,,Technical Support,Low,Open
TKT-0000146,GEN-05495,2025-07-29,,New Service Request,High,Pending Customer
TKT-0000147,GEN-05723,2025-08-06,2025-08-15,Billing Inquiry,Medium,Closed
TKT-0000148,3973-SKMLN,2025-12-18,2025-12-28,Service Interruption,Low,Closed
TKT-0000149,1442-BQPVU,2025-10-29,2025-10-29,Service Interruption,Low,Closed
TKT-0000150,3014-WJKSM,2025-12-07,2025-12-15,Cancellation Request,Low,Closed
TKT-0000151,GEN-10040,2025-12-02,2025-12-03,Service Interruption,Low,Closed
TKT-0000152,0568-ONFPC,2025-09-13,2025-09-16,Billing Inquiry,Low,Closed
TKT-0000153,GEN-04897,2025-10-15,2025-10-27,Service Interruption,Low,Closed
TKT-0000154,GEN-11694,2026-06-25,2026-07-01,Technical Support,High,Closed
TKT-0000155,GEN-09964,2025-09-04,2025-09-05,Service Interruption,Medium,Closed
TKT-0000156,GEN-00534,2026-02-23,2026-03-07,New Service Request,Low,Closed
TKT-0000157,4323-OHFOW,2025-08-26,2025-09-09,Service Interruption,Low,Closed
TKT-0000158,GEN-03857,,,,Medium,Closed
TKT-0000159,2607-DHDAK,2026-05-05,2026-05-09,Service Interruption,Low,Closed
TKT-0000160,GEN-00105,2025-08-16,2025-08-23,Service Interruption,Low,Closed
TKT-0000161,GEN-03452,2026-03-08,2026-03-17,Technical Support,Low,Closed
TKT-0000162,GEN-06198,2025-08-11,2025-08-20,Service Interruption,Low,Closed
TKT-0000163,GEN-02921,2026-05-02,2026-05-02,Technical Support,Low,Closed
TKT-0000164,GEN-04774,,,,High,Closed
TKT-0000165,GEN-02329,2025-11-09,2025-11-14,New Service Request,Low,Closed
TKT-0000166,9629-NHXFW,2026-03-13,2026-03-14,Billing Inquiry,Low,Closed
TKT-0000167,GEN-02739,2025-07-02,2025-07-15,Technical Support,High,Closed
TKT-0000168,GEN-09204,2025-11-14,2025-11-16,Technical Support,Medium,Closed
TKT-0000169,3528-HFRIQ,2026-04-16,,Billing Inquiry,Low,Pending Customer
TKT-0000170,GEN-01329,2025-11-24,2025-11-26,Billing Inquiry,Medium,Closed
TKT-0000171,GEN-04179,2026-01-31,2026-02-04,Service Interruption,Low,Closed
TKT-0000172,GEN-00915,2025-10-24,2025-11-03,Cancellation Request,Low,Closed
TKT-0000173,GEN-02534,2026-02-27,2026-03-12,Technical Support,High,Closed
TKT-0000174,5136-KCKGI,2026-03-31,2026-04-03,Technical Support,Low,Closed
TKT-0000175,2962-XPMCQ,2026-06-04,2026-06-12,Technical Support,Low,Closed
TKT-0000176,GEN-05034,2025-11-25,2025-12-02,Technical Support,Medium,Closed
TKT-0000177,GEN-06715,2025-08-08,2025-08-16,Billing Inquiry,Low,Closed
TKT-0000178,GEN-06654,2026-01-13,,Billing Inquiry,Low,Pending Customer
TKT-0000179,GEN-08811,2026-05-12,2026-05-19,Cancellation Request,Medium,Closed
TKT-0000180,GEN-11911,2025-11-25,2025-12-05,Billing Inquiry,Low,Closed
TKT-0000181,GEN-12356,2026-04-16,,Billing Inquiry,Low,Pending Customer
TKT-0000182,7743-EXURX,2025-11-29,2025-12-01,Billing Inquiry,Low,Closed
TKT-0000183,GEN-11561,2026-02-10,2026-02-16,New Service Request,High,Closed
TKT-0000184,GEN-08128,2026-05-14,2026-05-21,Technical Support,Low,Closed
TKT-0000185,GEN-11025,2026-03-21,2026-04-03,Billing Inquiry,Low,Closed
TKT-0000186,0585-EGDDA,2026-02-02,2026-02-09,Service Interruption,Low,Closed
TKT-0000187,5118-MUEYH,2026-03-04,2026-03-07,Cancellation Request,High,Closed
TKT-0000188,GEN-03711,2026-02-08,2026-02-08,Service Interruption,Low,Closed
TKT-0000189,1106-HRLKZ,2026-03-07,2026-03-21,Billing Inquiry,Medium,Closed
TKT-0000190,GEN-02823,2026-04-13,2026-04-16,Technical Support,Medium,Closed
TKT-0000191,GEN-11978,2026-03-07,,Billing Inquiry,Low,Open
TKT-0000192,GEN-07043,2026-03-26,2026-04-06,Billing Inquiry,Medium,Closed
TKT-0000193,GEN-04765,2026-03-29,2026-04-07,New Service Request,Low,Closed
TKT-0000194,GEN-07791,2026-04-27,2026-05-03,Billing Inquiry,Low,Closed
TKT-0000195,0916-QOFDP,2026-04-12,2026-04-20,Technical Support,Medium,Closed
TKT-0000196,1353-LJWEM,2025-07-24,2025-07-30,Technical Support,Low,Closed
TKT-0000197,GEN-04863,2025-09-16,2025-09-20,Technical Support,Medium,Closed
TKT-0000198,GEN-05215,2025-08-08,2025-08-10,Billing Inquiry,Medium,Closed
TKT-0000199,GEN-03362,2026-04-19,2026-04-21,Billing Inquiry,Medium,Closed
TKT-0000200,GEN-04109,2026-03-22,,Service Interruption,Low,Pending Customer
TKT-0000201,7521-YXVZY,2025-07-09,2025-07-17,Billing Inquiry,Low,Closed
TKT-0000202,GEN-05461,2025-08-21,2025-08-27,Service Interruption,Medium,Closed
TKT-0000203,GEN-00775,2026-02-18,2026-02-18,Service Interruption,Medium,Closed
TKT-0000204,GEN-04013,2025-09-21,,Billing Inquiry,Low,Pending Customer
TKT-0000205,GEN-10105,2025-10-24,2025-10-24,New Service Request,Low,Closed
TKT-0000206,GEN-10885,2026-05-02,,Billing Inquiry,High,Open
TKT-0000207,GEN-06120,2025-07-17,2025-07-21,Service Interruption,Low,Closed
TKT-0000208,GEN-06006,2026-03-27,2026-04-02,Technical Support,Low,Closed
TKT-0000209,4118-CEVPF,2025-08-06,2025-08-12,Billing Inquiry,Low,Closed
TKT-0000210,1104-TNLZA,2025-07-09,2025-07-14,Billing Inquiry,Low,Closed
TKT-0000211,GEN-08116,2025-09-11,2025-09-15,Service Interruption,High,Closed
TKT-0000212,GEN-09557,2026-06-11,2026-06-22,Cancellation Request,Low,Closed
TKT-0000213,GEN-03585,2025-08-15,2025-08-25,Billing Inquiry,Medium,Closed
TKT-0000214,GEN-08928,2025-10-14,2025-10-20,New Service Request,Low,Closed
TKT-0000215,GEN-06508,2025-10-08,2025-10-17,Billing Inquiry,High,Closed
TKT-0000216,GEN-02495,2026-02-21,2026-03-02,Service Interruption,Low,Closed
TKT-0000217,GEN-11257,2026-06-20,,Service Interruption,High,Open
TKT-0000218,GEN-04989,2026-02-04,2026-02-06,Billing Inquiry,Low,Closed
TKT-0000219,9029-FEGVJ,2026-03-11,2026-03-18,New Service Request,Low,Closed
TKT-0000220,5519-TEEUH,2026-03-21,2026-03-23,Technical Support,Low,Closed
TKT-0000221,7693-LCKZL,2026-01-23,2026-01-31,Technical Support,Medium,Closed
TKT-0000222,GEN-05224,2026-01-27,2026-02-06,Service Interruption,Low,Closed
TKT-0000223,GEN-02721,2025-11-18,2025-11-29,Service Interruption,Low,Closed
TKT-0000224,GEN-05317,2025-12-01,2025-12-11,Service Interruption,Low,Closed
TKT-0000225,6537-QLGEX,2025-08-09,,Technical Support,Low,Open
TKT-0000226,GEN-11483,2025-10-28,2025-11-04,Service Interruption,High,Closed
TKT-0000227,0577-WHMEV,2025-12-06,,Cancellation Request,High,Open
TKT-0000228,GEN-05357,2025-08-04,2025-08-05,Service Interruption,Low,Closed
TKT-0000229,GEN-02595,2026-05-17,2026-05-23,Technical Support,High,Closed
TKT-0000230,GEN-02123,2025-12-19,,Billing Inquiry,Low,Pending Customer
TKT-0000231,GEN-06231,2025-12-01,2025-12-08,Service Interruption,Medium,Closed
TKT-0000232,8990-ZXLSU,2026-02-24,,Service Interruption,Low,Open
TKT-0000233,3324-OIRTO,2025-06-30,2025-07-08,Cancellation Request,Low,Closed
TKT-0000234,GEN-05732,2025-12-19,2025-12-19,cancellation request,HIGH,CLOSED
TKT-0000235,2379-GYFLQ,2025-12-04,,Technical Support,Low,Open
TKT-0000236,9696-RMYBA,2026-06-22,2026-06-30,Service Interruption,Low,Closed
TKT-0000237,GEN-07858,2026-06-24,2026-07-01,Billing Inquiry,High,Closed
TKT-0000238,GEN-07435,2026-02-03,2026-02-09,Technical Support,Low,Closed
TKT-0000239,2887-JPYLU,2026-04-30,,Billing Inquiry,Low,Open
TKT-0000240,5605-IYGFG,2025-11-26,,Cancellation Request,Low,Pending Customer
TKT-0000241,GEN-10764,2025-10-27,2025-11-07,Service Interruption,High,Closed
TKT-0000242,GEN-12923,2026-06-19,2026-06-30,Technical Support,Low,Closed
TKT-0000243,0939-EREMR,2026-06-06,2026-06-16,Service Interruption,Low,Closed
TKT-0000244,GEN-07922,2026-01-24,2026-01-29,Billing Inquiry,High,Closed
TKT-0000245,4377-VDHYI,2025-07-12,2025-07-14,Service Interruption,Low,Closed
TKT-0000246,GEN-06557,2025-10-05,2025-10-12,Billing Inquiry,High,Closed
TKT-0000247,GEN-01952,2025-11-01,2025-11-06,Cancellation Request,Medium,Closed
TKT-0000248,GEN-10840,2026-04-01,2026-04-14,Cancellation Request,Low,Closed
TKT-0000249,GEN-07920,2025-08-29,,Service Interruption,Medium,Open
TKT-0000250,GEN-12339,2026-01-28,2026-02-10,Technical Support,Low,Closed
TKT-0000251,GEN-10234,2025-08-10,2025-08-10,Service Interruption,Low,Closed
TKT-0000252,8118-TJAFG,2025-08-16,2025-08-26,Technical Support,Medium,Closed
TKT-0000253,8348-JLBUG,2025-10-23,2025-10-31,Cancellation Request,Low,Closed
TKT-0000254,GEN-01707,2026-06-26,2026-07-07,Technical Support,Low,Closed
TKT-0000255,GEN-09875,2025-11-09,2025-11-22,New Service Request,Medium,Closed
TKT-0000256,GEN-09442,2025-07-09,2025-07-19,New Service Request,Low,Closed
TKT-0000257,2691-NZETQ,2026-06-27,2026-06-27,Billing Inquiry,Low,Closed
TKT-0000258,GEN-09027,2026-05-23,2026-05-30,Cancellation Request,High,Closed
TKT-0000259,GEN-06300,2026-02-18,2026-03-01,Billing Inquiry,Low,Closed
TKT-0000260,GEN-05687,2025-07-06,2025-07-14,New Service Request,Medium,Closed
TKT-0000261,GEN-12512,2025-10-04,,Service Interruption,Medium,Open
TKT-0000262,GEN-07610,2026-05-02,2026-05-13,Service Interruption,High,Closed
TKT-0000263,1195-OIYEJ,2025-07-19,2025-07-25,Cancellation Request,Low,Closed
TKT-0000264,GEN-06426,2026-01-29,2026-01-31,Billing Inquiry,High,Closed
TKT-0000265,GEN-10844,2025-10-01,2025-10-08,Service Interruption,Low,Closed
TKT-0000266,GEN-00783,2026-04-30,,Technical Support,High,Open
 TKT-0000267 , 1333-PBMXB , 2026-05-13 , 2026-05-22 , Billing Inquiry , Medium , Closed 
TKT-0000268,GEN-06420,2025-07-01,2025-07-07,Service Interruption,Low,Closed
TKT-0000269,GEN-03889,2026-01-01,2026-01-07,Service Interruption,High,Closed
TKT-0000270,4210-QFJMF,2026-01-07,2026-01-20,New Service Request,Medium,Closed
TKT-0000271,GEN-05575,2026-03-11,2026-03-15,Service Interruption,Low,Closed
TKT-0000272,GEN-01509,2026-05-13,2026-05-25,Cancellation Request,Low,Closed
tkt-0000273,gen-03471,2026-06-19,2026-07-01,BILLING INQUIRY,Medium,closed
TKT-0000274,GEN-11409,,,,Low,Closed
TKT-0000275,GEN-04441,2025-12-13,2025-12-17,Technical Support,Medium,Closed
TKT-0000276,9710-ZUSHQ,2025-11-28,2025-11-30,Billing Inquiry,Medium,Closed
TKT-0000277,8085-MSNLK,2025-12-12,2025-12-18,Technical Support,Medium,Closed
TKT-0000278,1436-ZMJAN,2025-09-07,,Billing Inquiry,Low,Open
TKT-0000279,GEN-10588,2025-09-15,2025-09-18,Service Interruption,Low,Closed
TKT-0000280,GEN-09774,2026-01-15,2026-01-17,New Service Request,Low,Closed
TKT-0000281,2027-WKXMW,2025-07-05,2025-07-15,Cancellation Request,Medium,Closed
TKT-0000282,GEN-08570,2025-09-20,2025-09-28,Billing Inquiry,High,Closed
TKT-0000283,5697-GOMBF,2025-08-15,2025-08-21,Billing Inquiry,High,Closed
TKT-0000284,5329-KRDTM,2026-03-08,2026-03-20,Billing Inquiry,Medium,Closed
TKT-0000285,GEN-07658,2026-03-17,2026-03-24,Billing Inquiry,Medium,Closed
TKT-0000286,1530-ZTDOZ,2026-04-14,2026-04-27,Service Interruption,High,Closed
TKT-0000287,Gen-05574,2026-06-16,2026-06-26,BILLING INQUIRY,medium,Closed
TKT-0000288,GEN-09526,2026-05-27,2026-06-09,Service Interruption,Low,Closed
TKT-0000289,GEN-12582,2026-01-16,2026-01-29,Service Interruption,High,Closed
TKT-0000290,GEN-12062,2026-05-19,2026-05-21,Billing Inquiry,High,Closed
TKT-0000291,5918-VUKWP,2025-09-09,2025-09-12,Billing Inquiry,Low,Closed
TKT-0000292,GEN-12699,2026-06-26,,Technical Support,Low,Open
 TKT-0000293 , 4948-WBBKL , 2025-11-29 , nan , Billing Inquiry , Low , Open 
TKT-0000294,GEN-10130,2026-04-14,2026-04-28,Billing Inquiry,Low,Closed
TKT-0000295,GEN-01305,2025-11-20,,Billing Inquiry,Medium,Pending Customer
TKT-0000296,GEN-09821,2026-01-25,2026-01-31,Service Interruption,Low,Closed
TKT-0000297,GEN-00774,2025-09-20,2025-10-01,Billing Inquiry,Low,Closed
TKT-0000298,GEN-05869,2026-05-06,2026-05-19,Technical Support,Medium,Closed
TKT-0000299,GEN-10233,2025-08-24,,Service Interruption,High,Pending Customer
TKT-0000300,1448-PWKYE,2025-12-25,2025-12-28,Cancellation Request,Low,Closed
TKT-0000301,GEN-08681,2026-05-27,2026-06-08,Technical Support,Low,Closed
TKT-0000302,GEN-06284,2026-05-03,2026-05-05,Service Interruption,Low,Closed
TKT-0000303,GEN-05133,2026-05-13,2026-05-21,Technical Support,High,Closed
TKT-0000304,GEN-00319,2026-05-31,,New Service Request,High,Pending Customer
TKT-0000305,5899-MQZZL,2025-10-15,2025-10-17,Billing Inquiry,Low,Closed
TKT-0000306,GEN-02523,2026-01-24,2026-01-26,Technical Support,Low,Closed
TKT-0000307,GEN-00773,2025-10-25,2025-10-28,New Service Request,Low,Closed
TKT-0000308,6259-WJQLC,2026-05-04,2026-05-10,Service Interruption,Low,Closed
TKT-0000309,0354-VXMJC,2025-10-30,2025-11-10,Billing Inquiry,High,Closed
TKT-0000310,0282-NVSJS,2026-03-27,2026-04-08,Billing Inquiry,Low,Closed
TKT-0000311,GEN-00037,2025-08-18,2025-08-19,Technical Support,Low,Closed
TKT-0000312,GEN-11726,2025-07-22,2025-07-25,Service Interruption,Low,Closed
TKT-0000313,GEN-07440,2025-12-02,2025-12-08,Technical Support,Medium,Closed
TKT-0000314,6872-HXFNF,2025-09-03,2025-09-04,Billing Inquiry,Low,Closed
TKT-0000315,GEN-06806,2025-10-15,2025-10-24,Billing Inquiry,Low,Closed
TKT-0000316,GEN-00545,2026-04-13,2026-04-15,Billing Inquiry,Low,Closed
TKT-0000317,2858-MOFSQ,2026-05-13,2026-05-19,Service Interruption,Low,Closed
TKT-0000318,3757-NJYBX,2026-06-05,2026-06-17,Billing Inquiry,Low,Closed
Tkt-0000319,gen-08319,2026-04-04,2026-04-15,Service Interruption,medium,Closed
TKT-0000320,GEN-09360,2026-05-18,2026-05-31,Technical Support,Low,Closed
